Location,Split,Pos,Div,Gen,Speed,Pace
Swim 3.8k,00:48:47,1,1,1,4.75 , 12:50
T1,00:02:12,2,2,2,- , -
Bike 20.6k,00:28:49,4,4,4,44.14 , 01:23
Bike 44k,00:32:29,2,2,2,43.88 , 01:23
Bike 61.5k,00:24:04,3,3,3,43.75 , 01:22
Bike 75k,00:18:29,3,3,3,45.00 , 01:22
Bike 80k,00:06:31,3,3,3,50.00 , 01:18
Bike 90k,00:13:44,2,2,2,46.15 , 01:22
Bike 110.4k,00:29:16,2,2,2,42.21 , 01:26
Bike 133.8k,00:32:46,2,2,2,43.88 , 01:24
Bike 151.3k,00:24:32,2,2,2,43.75 , 01:24
Bike 164.8k,00:18:38,2,2,2,45.00 , 01:22
Bike 169.8k,00:06:55,2,2,2,50.00 , 01:23
Bike 180k,00:15:54,2,2,2,40.80 , 01:33
T2,00:01:36,4,1,3,- , -
Run 1.4k,00:05:11,4,4,4,16.80 , 03:42
Run 6.5k,00:19:36,3,3,3,16.11 , 03:50
Run 9.8k,00:12:32,4,4,4,16.50 , 03:47
Run 11.8k,00:08:32,4,4,4,15.00 , 04:16
Run 16.9k,00:19:42,1,1,1,16.11 , 03:51
Run 20.2k,00:12:51,1,1,1,16.50 , 03:53
Run 22.3k,00:08:46,1,1,1,15.75 , 04:10
Run 27.3k,00:20:10,1,1,1,15.00 , 04:02
Run 30.7k,00:13:19,1,1,1,15.69 , 03:55
Run 32.7k,00:09:29,1,1,1,13.33 , 04:44
Run 37.8k,00:21:31,1,1,1,14.57 , 04:13
Run 41.1k,00:14:03,1,1,1,14.14 , 04:15
Run 42.2k,00:05:24,1,1,1,13.20 , 04:54
